country,year,average_temperature_c,average_uncertainty_c,months_observed,baseline_temperature_c,baseline_years,temperature_anomaly_c
Timor Leste,1916,25.764083333333332,0.5711666666666667,12,26.174174999999998,30,-0.4100916666666663
Timor Leste,1917,25.631,0.6222500000000001,12,26.174174999999998,30,-0.543174999999998
Timor Leste,1918,25.226083333333335,0.7475,12,26.174174999999998,30,-0.948091666666663
Timor Leste,1919,25.38891666666667,0.7454999999999999,12,26.174174999999998,30,-0.7852583333333278
Timor Leste,1920,25.853083333333334,0.5865,12,26.174174999999998,30,-0.3210916666666641
Timor Leste,1921,25.622833333333332,0.5726666666666667,12,26.174174999999998,30,-0.5513416666666657
Timor Leste,1922,25.35466666666667,0.6588333333333333,12,26.174174999999998,30,-0.819508333333328
Timor Leste,1923,25.3195,0.4719166666666667,12,26.174174999999998,30,-0.8546749999999967
Timor Leste,1924,25.96166666666667,0.46316666666666667,12,26.174174999999998,30,-0.21250833333332864
Timor Leste,1925,25.29325,0.5593333333333333,12,26.174174999999998,30,-0.8809249999999977
Timor Leste,1926,25.703833333333336,0.5135833333333334,12,26.174174999999998,30,-0.47034166666666266
Timor Leste,1927,25.990583333333333,0.60175,12,26.174174999999998,30,-0.18359166666666482
Timor Leste,1928,26.04133333333333,0.5099166666666667,12,26.174174999999998,30,-0.13284166666666763
Timor Leste,1929,25.66025,0.51375,12,26.174174999999998,30,-0.5139249999999969
Timor Leste,1930,25.785083333333333,0.4871666666666667,12,26.174174999999998,30,-0.3890916666666655
Timor Leste,1931,25.92175,0.79575,12,26.174174999999998,30,-0.2524249999999988
Timor Leste,1932,25.476166666666668,0.6549999999999999,12,26.174174999999998,30,-0.6980083333333305
Timor Leste,1933,25.676000000000002,0.6414166666666666,12,26.174174999999998,30,-0.49817499999999626
Timor Leste,1934,25.933333333333334,0.7774166666666668,12,26.174174999999998,30,-0.24084166666666462
Timor Leste,1935,25.737750000000002,0.66575,12,26.174174999999998,30,-0.4364249999999963
Timor Leste,1936,26.15525,0.5941666666666666,12,26.174174999999998,30,-0.018924999999999415
Timor Leste,1937,25.97491666666667,0.5396666666666666,12,26.174174999999998,30,-0.19925833333332932
Timor Leste,1938,26.141666666666666,0.5963333333333333,12,26.174174999999998,30,-0.03250833333333247
Timor Leste,1939,25.643333333333334,0.9010833333333332,12,26.174174999999998,30,-0.5308416666666638
Timor Leste,1940,25.282666666666668,0.7000833333333333,12,26.174174999999998,30,-0.8915083333333307
Timor Leste,1941,25.808666666666667,1.0963333333333332,12,26.174174999999998,30,-0.3655083333333309
Timor Leste,1942,26.876500000000004,1.0445833333333334,12,26.174174999999998,30,0.7023250000000054
Timor Leste,1943,25.847083333333334,0.6820833333333334,12,26.174174999999998,30,-0.32709166666666434
Timor Leste,1944,25.706333333333333,0.7153333333333333,12,26.174174999999998,30,-0.46784166666666493
Timor Leste,1945,25.792833333333334,0.5828333333333333,12,26.174174999999998,30,-0.381341666666664
Timor Leste,1946,25.7585,0.8441666666666666,12,26.174174999999998,30,-0.4156749999999967
Timor Leste,1947,26.162000000000003,0.9219166666666667,12,26.174174999999998,30,-0.012174999999995606
Timor Leste,1948,25.86075,0.8734166666666666,12,26.174174999999998,30,-0.31342499999999873
Timor Leste,1949,25.461833333333335,0.6665,12,26.174174999999998,30,-0.7123416666666635
Timor Leste,1950,25.426666666666666,0.6902500000000001,12,26.174174999999998,30,-0.7475083333333323
Timor Leste,1951,26.057000000000002,0.6605,12,26.174174999999998,30,-0.11717499999999603
Timor Leste,1952,26.3205,0.44966666666666666,12,26.174174999999998,30,0.14632500000000093
Timor Leste,1953,26.362916666666667,0.5890833333333333,12,26.174174999999998,30,0.1887416666666688
Timor Leste,1954,26.26,0.5920833333333334,12,26.174174999999998,30,0.08582500000000337
Timor Leste,1955,25.990916666666667,0.36933333333333335,12,26.174174999999998,30,-0.18325833333333108
Timor Leste,1956,26.02925,0.40199999999999997,12,26.174174999999998,30,-0.14492499999999708
Timor Leste,1957,26.05425,0.4899166666666667,12,26.174174999999998,30,-0.1199249999999985
Timor Leste,1958,26.602416666666667,0.45133333333333336,12,26.174174999999998,30,0.4282416666666684
Timor Leste,1959,26.251416666666668,0.5118333333333334,12,26.174174999999998,30,0.07724166666666932
Timor Leste,1960,25.986166666666666,0.47741666666666666,12,26.174174999999998,30,-0.18800833333333244
Timor Leste,1961,25.878833333333333,0.6011666666666666,12,26.174174999999998,30,-0.2953416666666655
Timor Leste,1962,26.074583333333333,0.47983333333333333,12,26.174174999999998,30,-0.09959166666666519
Timor Leste,1963,25.581916666666668,0.5459166666666667,12,26.174174999999998,30,-0.59225833333333
Timor Leste,1964,26.125666666666664,0.5580833333333334,12,26.174174999999998,30,-0.048508333333334264
Timor Leste,1965,25.722083333333334,0.5744166666666667,12,26.174174999999998,30,-0.45209166666666434
Timor Leste,1966,26.041083333333333,0.48100000000000004,12,26.174174999999998,30,-0.13309166666666528
Timor Leste,1967,25.84925,0.40491666666666665,12,26.174174999999998,30,-0.3249249999999968
Timor Leste,1968,26.267333333333337,0.5105833333333333,12,26.174174999999998,30,0.09315833333333856
Timor Leste,1969,26.249583333333334,0.5443333333333333,12,26.174174999999998,30,0.07540833333333552
Timor Leste,1970,26.465083333333336,0.32375,12,26.174174999999998,30,0.29090833333333777
Timor Leste,1971,26.21858333333333,0.37399999999999994,12,26.174174999999998,30,0.04440833333333316
Timor Leste,1972,26.147833333333335,0.4254166666666667,12,26.174174999999998,30,-0.0263416666666636
Timor Leste,1973,26.91016666666667,0.4101666666666666,12,26.174174999999998,30,0.7359916666666706
Timor Leste,1974,26.366333333333333,0.57275,12,26.174174999999998,30,0.1921583333333352
Timor Leste,1975,26.299083333333332,0.4603333333333333,12,26.174174999999998,30,0.12490833333333384
Timor Leste,1976,26.000083333333333,0.56775,12,26.174174999999998,30,-0.17409166666666565
Timor Leste,1977,25.880750000000003,0.6844166666666668,12,26.174174999999998,30,-0.2934249999999956
Timor Leste,1978,26.606916666666667,0.6019166666666667,12,26.174174999999998,30,0.4327416666666686
Timor Leste,1979,26.325166666666664,0.5735833333333333,12,26.174174999999998,30,0.1509916666666662
Timor Leste,1980,26.300083333333333,0.45025000000000004,12,26.174174999999998,30,0.12590833333333507
Timor Leste,1981,26.467083333333335,0.5481666666666667,12,26.174174999999998,30,0.29290833333333666
Timor Leste,1982,25.71166666666667,0.5271666666666667,12,26.174174999999998,30,-0.46250833333332864
Timor Leste,1983,26.526833333333332,0.4603333333333333,12,26.174174999999998,30,0.3526583333333342
Timor Leste,1984,26.250666666666664,0.41425,12,26.174174999999998,30,0.07649166666666574
Timor Leste,1985,26.46466666666667,0.6110833333333333,12,26.174174999999998,30,0.2904916666666715
Timor Leste,1986,26.480666666666668,0.41675,12,26.174174999999998,30,0.3064916666666697
Timor Leste,1987,26.622249999999998,0.45475,12,26.174174999999998,30,0.44807499999999933
Timor Leste,1988,26.814000000000004,0.54075,12,26.174174999999998,30,0.6398250000000054
